activity_id,activity_name,designation,fullName,name,parkCode,states,url
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Recreation Area,Boston Harbor Islands National Recreation Area,Boston Harbor Islands,boha,MA,https://www.nps.gov/boha/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Booker T Washington National Monument,Booker T Washington,bowa,VA,https://www.nps.gov/bowa/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Bryce Canyon National Park,Bryce Canyon,brca,UT,https://www.nps.gov/brca/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National River,Buffalo National River,Buffalo,buff,AR,https://www.nps.gov/buff/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Buck Island Reef National Monument,Buck Island Reef,buis,VI,https://www.nps.gov/buis/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Cabrillo National Monument,Cabrillo,cabr,CA,https://www.nps.gov/cabr/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Canyon de Chelly National Monument,Canyon de Chelly,cach,AZ,https://www.nps.gov/cach/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Seashore,Cape Cod National Seashore,Cape Cod,caco,MA,https://www.nps.gov/caco/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Seashore,Cape Hatteras National Seashore,Cape Hatteras,caha,NC,https://www.nps.gov/caha/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Cape Krusenstern National Monument,Cape Krusenstern,cakr,AK,https://www.nps.gov/cakr/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historic Trail,California National Historic Trail,California,cali,"CA,CO,ID,KS,MO,NE,NV,OR,UT,WY",https://www.nps.gov/cali/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Seashore,Canaveral National Seashore,Canaveral,cana,FL,https://www.nps.gov/cana/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Camp Nelson National Monument,Camp Nelson,cane,KY,https://www.nps.gov/cane/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Canyonlands National Park,Canyonlands,cany,UT,https://www.nps.gov/cany/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Capitol Reef National Park,Capitol Reef,care,UT,https://www.nps.gov/care/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,Park,Catoctin Mountain Park,Catoctin Mountain,cato,MD,https://www.nps.gov/cato/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Carlsbad Caverns National Park,Carlsbad Caverns,cave,NM,https://www.nps.gov/cave/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Capulin Volcano National Monument,Capulin Volcano,cavo,NM,https://www.nps.gov/cavo/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Cedar Breaks National Monument,Cedar Breaks,cebr,UT,https://www.nps.gov/cebr/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Memorial,Chamizal National Memorial,Chamizal,cham,TX,https://www.nps.gov/cham/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Recreation Area,Chattahoochee River National Recreation Area,Chattahoochee River,chat,GA,https://www.nps.gov/chat/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Military Park,Chickamauga & Chattanooga National Military Park,Chickamauga & Chattanooga,chch,"GA,TN",https://www.nps.gov/chch/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historical Park,Chaco Culture National Historical Park,Chaco Culture,chcu,NM,https://www.nps.gov/chcu/index.htm
